,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,14,eux,them
15,15,ville,city
16,17,parlé,speak
17,18,arrivé,come
18,19,devrait,should
19,20,bébé,baby
20,21,longtemps,long time
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,26,aucune,any
26,27,place,square
27,28,compris,understood
28,29,savais,knew
29,30,étaient,were
30,31,attention,Warning
31,32,voici,here is
32,33,affaire,case
33,34,donner,give
34,35,leurs,their
35,36,donné,given
36,37,train,train
37,38,corps,body
38,39,endroit,place
39,40,yeux,eyes
40,41,façon,way
41,42,écoute,listen
42,43,dont,whose
43,44,trouve,find
44,45,premier,first
45,46,perdu,lost
46,47,main,hand
47,48,première,first
48,49,côté,side
49,50,pouvoir,power
50,51,vieux,old
51,52,sois,be
52,53,tiens,here
53,54,matin,morning
54,56,enfant,child
55,57,point,point
56,58,venu,came
57,59,suite,after
58,60,pardon,sorry
59,61,venez,come
60,62,devant,in front of
61,63,vers,towards
62,64,minutes,minutes
63,65,chambre,bedroom
64,66,mis,placed
65,67,belle,beautiful
66,68,droit,law
67,69,aimerais,would like to
68,70,aujourd'hui,today
69,71,mari,husband
70,72,cause,cause
71,73,enfin,finally
72,74,espère,hope
73,75,eau,water
74,76,attendez,Wait
75,77,parti,left
76,78,nouvelle,new
77,79,boulot,job
78,80,arrêter,Stop
79,81,dirait,would say
80,82,terre,Earth
81,83,compte,account
82,84,loin,far
83,85,fin,end
84,86,croire,believe
85,87,chérie,sweetheart
86,88,gros,large
87,89,aura,will have
88,90,filles,girls
89,91,jouer,to play
90,92,bureau,office
